"Whitesky Communications LLC - Seattle, WA","22168","19.0662","3.278","0","25480093","14819075","235806708","197223520","https://www.speedtest.net/result/c/c5aa3751-996b-438c-abf7-db7798647efc","1","16.797","5.65622","8.903","84.041","33.7162","14.4111","14.713","314.522","17.059","24.156"
"Comcast - Seattle, WA","1782","21.9304","4.2225","N/A","26624698","14771787","371451832","197238160","https://www.speedtest.net/result/c/546ea6f7-931f-4a2d-8a21-4f9588b5b8ec","1","19.7523","6.56266","7.814","71.606","34.1238","12.657","9.633","410.188","15.377","24.248"
"Misaka Network, Inc. - Seattle, WA","50679","18.7142","206.247","0","14224202","9437603","162059436","131596588","https://www.speedtest.net/result/c/f6fb01e3-630f-4b54-a985-8b85185a3989","1","59.6536","46.1903","10.103","374.554","138.33","51.5999","20.412","633.704","12.258","428.929"
"Ziply Fiber - Seattle, WA","35180","17.3259","2.05625","0","26717879","14459796","193823044","196436968","https://www.speedtest.net/result/c/6c06dcc8-33cb-4e47-85be-c1b4df28bdf2","1","21.6602","6.19674","10.114","51.289","46.9549","16.9668","12.354","465.414","15.295","19.085"
"Ziply Fiber - Seattle, WA","35180","25.4624","1.5325","0","26144389","13956394","255528356","129045487","https://www.speedtest.net/result/c/a885bf11-6ccf-48ee-859d-a9ce702a24cf","1","25.8891","7.92513","9.824","130.422","34.6522","16.8423","11.984","354.282","21.562","26.875"
"Dish Wireless - Seattle, WA","53973","20.1271","4.12175","N/A","26921359","13670736","220550112","167371065","https://www.speedtest.net/result/c/f4be688a-396d-411b-9acb-f74f376eec0e","1","22.0509","7.0909","10.363","98.581","32.1059","19.5233","11.055","882.126","15.903","26.587"
